N,Diff,prevalence,p_error
33,1,0.0005,0.016368679449899504
33,1,0.001,0.032477415316232716
33,1,0.005,0.15245714969765467
33,1,0.01,0.28226946740172487
33,1,0.05,0.8159740897644239
34,1,0.0001,0.0033943959793651945
34,1,0.0005,0.01686049511017451
34,1,0.001,0.033444937900916405
34,1,0.005,0.15669486394916643
34,1,0.01,0.2894467727277076
34,1,0.05,0.8251753852762027
35,1,0.0001,0.0034940565397671985
35,1,0.0005,0.01735206486261942
35,1,0.001,0.03441149296301549
35,1,0.005,0.16091138962942053
35,1,0.01,0.2965523050004305
35,1,0.05,0.8339166160123925
36,1,0.0001,0.003593707134113222
36,1,0.0005,0.0178433888301881
36,1,0.001,0.035377081470052474
36,1,0.005,0.16510683268127346
36,1,0.01,0.3035867819504262
36,1,0.05,0.8422207852117729
37,1,0.0001,0.0036933477633999123
37,1,0.0005,0.018334467135773025
37,1,0.001,0.03634170438858242
37,1,0.005,0.1692812985178671
37,1,0.01,0.31055091413092195
37,1,0.05,0.8501097459511843
38,1,0.0001,0.0037929784286234725
38,1,0.0005,0.01882529990220516
38,1,0.001,0.03730536268419393
38,1,0.005,0.17343489202527773
38,1,0.01,0.3174454049896127
38,1,0.05,0.857604258653625
39,1,0.0001,0.0038925991307806607
39,1,0.0005,0.019315887252254083
39,1,0.001,0.03826805732150973
39,1,0.005,0.17756771756515133
39,1,0.01,0.3242709509397166
39,1,0.05,0.8647240457209439
40,1,0.0001,0.003992209870867569
40,1,0.0005,0.019806229308627965
40,1,0.001,0.039229789264188186
40,1,0.005,0.18167987897732563
40,1,0.01,0.3310282414303195
40,1,0.05,0.8714878434348966
41,1,0.0001,0.004091810649880512
41,1,0.0005,0.02029632619397359
41,1,0.001,0.040190559474924004
41,1,0.005,0.185771479582439
41,1,0.01,0.3377179590160163
41,1,0.05,0.8779134512631518
42,1,0.0001,0.00419140146881547
42,1,0.0005,0.02078617803087668
42,1,0.001,0.0411503689154491
42,1,0.005,0.18984262218452674
42,1,0.01,0.34434077942585606
42,1,0.05,0.8840177786999942
43,1,0.0001,0.004290982328668647
43,1,0.0005,0.02127578494186122
43,1,0.001,0.0421092185465336
43,1,0.005,0.1938934090736042
43,1,0.01,0.3508973716315975
43,1,0.05,0.8898168897649945
