N,Diff,prevalence,p_error
21,1,0.05,0.28302815518291524
22,1,0.0001,2.3069221934957085e-06
22,1,0.0005,5.736636827657904e-05
22,1,0.001,0.00022794184003605
22,1,0.005,0.005403392200064805
22,1,0.01,0.02022927945227715
22,1,0.05,0.3018486661093637
23,1,0.0001,2.526460655127849e-06
23,1,0.0005,6.280890611420897e-05
23,1,0.001,0.00024948443090722083
23,1,0.005,0.005898440285395101
23,1,0.01,0.0220106807623639
23,1,0.05,0.32057955555521
24,1,0.0001,2.755955186062309e-06
24,1,0.0005,6.849598707248106e-05
24,1,0.001,0.0002719837086548882
24,1,0.005,0.006413402805067081
24,1,0.01,0.023854431118303654
24,1,0.05,0.33918273439119817
25,1,0.0001,2.9954037928936472e-06
25,1,0.0005,7.442736524754245e-05
25,1,0.001,0.0002954377383626028
25,1,0.005,0.006948068238535221
25,1,0.01,0.025759105399048465
25,1,0.05,0.35762414645469964
26,1,0.0001,3.2448044823274458e-06
26,1,0.0005,8.060279492050348e-05
26,1,0.001,0.0003198445880272516
26,1,0.005,0.0075022266825984785
26,1,0.01,0.02772330075106655
26,1,0.05,0.3758734604758731
27,1,0.0001,3.50415526173542e-06
27,1,0.0005,8.702203055688251e-05
27,1,0.001,0.0003452023285547279
27,1,0.005,0.00807566984051522
27,1,0.01,0.029745636285504307
27,1,0.05,0.3939037827287919
28,1,0.0001,3.7734541386003073e-06
28,1,0.0005,9.368482680682799e-05
28,1,0.001,0.0003715090337566007
28,1,0.005,0.008668191011185655
28,1,0.01,0.03182475277917818
28,1,0.05,0.4116913891052294
29,1,0.0001,4.052699120515868e-06
29,1,0.0005,0.00010059093850511847
29,1,0.001,0.00039876278034578494
29,1,0.005,0.00927958507840343
29,1,0.01,0.033959312379350126
29,1,0.05,0.4292154753872015
30,1,0.0001,4.341888215853018e-06
30,1,0.0005,0.00010774012067049643
30,1,0.001,0.00042696164793265545
30,1,0.005,0.009909648500173729
30,1,0.01,0.03614799831224069
30,1,0.05,0.44645792456821287
31,1,0.0001,4.641019432760629e-06
31,1,0.0005,0.00011513212850600141
31,1,0.001,0.00045610371902171654
31,1,0.005,0.010558179298099435
31,1,0.01,0.03838951459523543
31,1,0.05,0.4634030901426551
32,1,0.0001,4.950090779942684e-06
32,1,0.0005,0.00012276671739863687
32,1,0.001,0.0004861870790068279
32,1,0.005,0.01122497704683334
32,1,0.01,0.04068258575273909
32,1,0.05,0.4800375943482329
33,1,0.0001,5.269100266547255e-06
33,1,0.0005,0.00013064364291937025
33,1,0.001,0.0005172098161683181
33,1,0.005,0.01190984286359742
33,1,0.01,0.043025956535633236
33,1,0.05,0.49635014040789605
34,1,0.0001,5.598045901722415e-06
34,1,0.0005,0.00013876266082279987
34,1,0.001,0.0005491700216683215
34,1,0.005,0.01261257939776772
34,1,0.01,0.045418391644294065
34,1,0.05,0.5123313378757224
35,1,0.0001,5.936925695060324e-06
35,1,0.0005,0.000147123527047488
35,1,0.001,0.00058206578954767
35,1,0.005,0.013332990820524748
35,1,0.01,0.04785867545512823
35,1,0.05,0.5279735402457464
36,1,0.0001,6.28573765637519e-06
36,1,0.0005,0.00015572599771529472
